AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
1-4|2.5|3.0|2.7|418|Mortality|15339782|All Cancer Sites Combined|1999
1-4|19.1|20.5|19.8|2994|Incidence|15136428|All Cancer Sites Combined|1999
1-4|0.6|0.9|0.7|113|Mortality|15339782|Brain and Other Nervous System|1999
1-4|3.7|4.3|4.0|600|Incidence|15136428|Brain and Other Nervous System|1999
1-4|~|~|~|~|Mortality|7493614|Cervix|1999
1-4|~|~|~|~|Incidence|7394181|Cervix|1999
1-4|~|~|~|~|Mortality|15339782|Colon and Rectum|1999
1-4|~|~|~|~|Incidence|15136428|Colon and Rectum|1999
1-4|~|~|~|~|Mortality|7493614|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Incidence|7394181|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Mortality|15339782|Esophagus|1999
1-4|~|~|~|~|Incidence|15136428|Esophagus|1999
1-4|~|~|~|~|Mortality|7493614|Female Breast|1999
1-4|~|~|~|~|Incidence|7394181|Female Breast|1999
1-4|~|~|~|~|Incidence|7394181|Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Mortality|15339782|Hodgkin Lymphoma|1999
1-4|~|~|~|~|Incidence|15136428|Hodgkin Lymphoma|1999
1-4|.|.|.|.|Mortality|15339782|Kaposi Sarcoma|1999
1-4|~|~|~|~|Incidence|15136428|Kaposi Sarcoma|1999
1-4|0.1|0.2|0.1|19|Mortality|15339782|Kidney and Renal Pelvis|1999
1-4|1.7|2.1|1.9|290|Incidence|15136428|Kidney and Renal Pelvis|1999
1-4|~|~|~|~|Mortality|15339782|Larynx|1999
1-4|~|~|~|~|Incidence|15136428|Larynx|1999
1-4|0.6|0.9|0.8|119|Mortality|15339782|Leukemias|1999
1-4|7.5|8.4|7.9|1202|Incidence|15136428|Leukemias|1999
1-4|0.1|0.3|0.2|29|Mortality|15339782|Liver and Intrahepatic Bile Duct|1999
1-4|0.4|0.6|0.5|69|Incidence|15136428|Liver and Intrahepatic Bile Duct|1999
1-4|~|~|~|~|Mortality|15339782|Lung and Bronchus|1999
1-4|~|~|~|~|Incidence|15136428|Lung and Bronchus|1999
1-4|~|~|~|~|Mortality|7493614|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|7394181|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|7394181|Male and Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Mortality|15339782|Melanomas of the Skin|1999
1-4|~|~|~|~|Incidence|15136428|Melanomas of the Skin|1999
1-4|~|~|~|~|Mortality|15339782|Mesothelioma|1999
1-4|~|~|~|~|Incidence|15136428|Mesothelioma|1999
1-4|~|~|~|~|Mortality|15339782|Myeloma|1999
1-4|~|~|~|~|Incidence|15136428|Myeloma|1999
1-4|0.1|0.2|0.1|16|Mortality|15339782|Non-Hodgkin Lymphoma|1999
1-4|0.6|0.8|0.7|105|Incidence|15136428|Non-Hodgkin Lymphoma|1999
1-4|~|~|~|~|Mortality|15339782|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Incidence|15136428|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Mortality|7493614|Ovary|1999
1-4|~|~|~|~|Incidence|7394181|Ovary|1999
1-4|~|~|~|~|Mortality|15339782|Pancreas|1999
1-4|~|~|~|~|Incidence|15136428|Pancreas|1999
1-4|~|~|~|~|Mortality|7846168|Prostate|1999
1-4|~|~|~|~|Incidence|7742247|Prostate|1999
1-4|~|~|~|~|Mortality|15339782|Stomach|1999
1-4|~|~|~|~|Incidence|15136428|Stomach|1999
1-4|~|~|~|~|Mortality|7846168|Testis|1999
1-4|0.2|0.5|0.3|27|Incidence|7742247|Testis|1999
1-4|~|~|~|~|Mortality|15339782|Thyroid|1999
1-4|~|~|~|~|Incidence|15136428|Thyroid|1999
1-4|~|~|~|~|Mortality|15339782|Urinary Bladder|1999
1-4|~|~|~|~|Incidence|15136428|Urinary Bladder|1999
10-14|2.3|2.7|2.5|503|Mortality|20213364|All Cancer Sites Combined|1999
10-14|11.9|12.9|12.4|2478|Incidence|19935660|All Cancer Sites Combined|1999
10-14|0.5|0.7|0.6|124|Mortality|20213364|Brain and Other Nervous System|1999
10-14|2.4|2.9|2.7|531|Incidence|19935660|Brain and Other Nervous System|1999
10-14|~|~|~|~|Mortality|9855664|Cervix|1999
10-14|~|~|~|~|Incidence|9719801|Cervix|1999
10-14|~|~|~|~|Mortality|20213364|Colon and Rectum|1999
10-14|~|~|~|~|Incidence|19935660|Colon and Rectum|1999
10-14|~|~|~|~|Mortality|9855664|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Incidence|9719801|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Mortality|20213364|Esophagus|1999
10-14|~|~|~|~|Incidence|19935660|Esophagus|1999
10-14|~|~|~|~|Mortality|9855664|Female Breast|1999
10-14|~|~|~|~|Incidence|9719801|Female Breast|1999
10-14|~|~|~|~|Incidence|9719801|Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Mortality|20213364|Hodgkin Lymphoma|1999
10-14|1.0|1.3|1.2|231|Incidence|19935660|Hodgkin Lymphoma|1999
10-14|.|.|.|.|Mortality|20213364|Kaposi Sarcoma|1999
10-14|~|~|~|~|Incidence|19935660|Kaposi Sarcoma|1999
10-14|~|~|~|~|Mortality|20213364|Kidney and Renal Pelvis|1999
10-14|0.1|0.2|0.1|25|Incidence|19935660|Kidney and Renal Pelvis|1999
10-14|~|~|~|~|Mortality|20213364|Larynx|1999
10-14|~|~|~|~|Incidence|19935660|Larynx|1999
10-14|0.7|1.0|0.9|175|Mortality|20213364|Leukemias|1999
10-14|2.6|3.1|2.8|566|Incidence|19935660|Leukemias|1999
10-14|~|~|~|~|Mortality|20213364|Liver and Intrahepatic Bile Duct|1999
10-14|0.1|0.1|0.1|18|Incidence|19935660|Liver and Intrahepatic Bile Duct|1999
10-14|~|~|~|~|Mortality|20213364|Lung and Bronchus|1999
10-14|~|~|~|~|Incidence|19935660|Lung and Bronchus|1999
10-14|~|~|~|~|Mortality|9855664|Male and Female Breast|1999
10-14|~|~|~|~|Incidence|9719801|Male and Female Breast|1999
