AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Benign/Borderline|~|39865121|Female|All other|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|All other|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|All other|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|All other|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|All other|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|All other|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|All other|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|All other|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|All other|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|All other|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|All other|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|All other|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40633964|Female|All other|2010|~|~|~
0-19|~|~|~|Malignant|~|40633964|Female|All other|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40465313|Female|All other|2011|~|~|~
0-19|~|~|~|Malignant|~|40465313|Female|All other|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40314778|Female|All other|2012|~|~|~
0-19|~|~|~|Malignant|~|40314778|Female|All other|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40221756|Female|All other|2013|~|~|~
0-19|~|~|~|Malignant|~|40221756|Female|All other|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40166969|Female|All other|2014|~|~|~
0-19|~|~|~|Malignant|~|40166969|Female|All other|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165125|Female|All other|2015|~|~|~
0-19|~|~|~|Malignant|~|40165125|Female|All other|2015|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|69|198751799|Female|All other|2015-2019|0.0|0.0|0.0
0-19|0.1|0.2|0.2|Malignant|297|198751799|Female|All other|2015-2019|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|40190633|Female|All other|2016|~|~|~
0-19|~|~|~|Malignant|~|40190633|Female|All other|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40166755|Female|All other|2017|~|~|~
0-19|~|~|~|Malignant|~|40166755|Female|All other|2017|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|39723250|Female|All other|2018|0.0|0.1|0.1
0-19|0.3|0.4|0.3|Malignant|123|39723250|Female|All other|2018|0.3|0.4|0.3
0-19|0.1|0.1|0.1|Benign/Borderline|33|39588700|Female|All other|2019|0.1|0.1|0.1
0-19|0.3|0.5|0.4|Malignant|154|39588700|Female|All other|2019|0.3|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic astrocytoma|2004|~|~|~
0-19|0.1|0.2|0.1|Malignant|46|39865121|Female|Anaplastic astrocytoma|2004|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|39998876|Female|Anaplastic astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic astrocytoma|2006|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|40165421|Female|Anaplastic astrocytoma|2006|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic astrocytoma|2007|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|40382360|Female|Anaplastic astrocytoma|2007|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic astrocytoma|2008|~|~|~
0-19|0.1|0.1|0.1|Malignant|32|40576293|Female|Anaplastic astrocytoma|2008|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic astrocytoma|2009|~|~|~
0-19|0.1|0.1|0.1|Malignant|30|40670476|Female|Anaplastic astrocytoma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40633964|Female|Anaplastic astrocytoma|2010|~|~|~
0-19|0.1|0.1|0.1|Malignant|40|40633964|Female|Anaplastic astrocytoma|2010|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40465313|Female|Anaplastic astrocytoma|2011|~|~|~
0-19|0.1|0.1|0.1|Malignant|39|40465313|Female|Anaplastic astrocytoma|2011|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40314778|Female|Anaplastic astrocytoma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|40314778|Female|Anaplastic astrocytoma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40221756|Female|Anaplastic astrocytoma|2013|~|~|~
0-19|0.1|0.2|0.1|Malignant|51|40221756|Female|Anaplastic astrocytoma|2013|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|40166969|Female|Anaplastic astrocytoma|2014|~|~|~
0-19|0.1|0.1|0.1|Malignant|40|40166969|Female|Anaplastic astrocytoma|2014|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165125|Female|Anaplastic astrocytoma|2015|~|~|~
0-19|0.1|0.1|0.1|Malignant|34|40165125|Female|Anaplastic astrocytoma|2015|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|198751799|Female|Anaplastic astrocytoma|2015-2019|~|~|~
0-19|0.1|0.1|0.1|Malignant|146|198751799|Female|Anaplastic astrocytoma|2015-2019|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40190633|Female|Anaplastic astrocytoma|2016|~|~|~
0-19|0.1|0.1|0.1|Malignant|30|40190633|Female|Anaplastic astrocytoma|2016|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40166755|Female|Anaplastic astrocytoma|2017|~|~|~
0-19|0.0|0.1|0.1|Malignant|28|40166755|Female|Anaplastic astrocytoma|2017|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39723250|Female|Anaplastic astrocytoma|2018|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|39723250|Female|Anaplastic astrocytoma|2018|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39588700|Female|Anaplastic astrocytoma|2019|~|~|~
0-19|0.1|0.1|0.1|Malignant|30|39588700|Female|Anaplastic astrocytoma|2019|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic oligodendroglioma|2005|~|~|~
