AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|190.8|205.0|197.8|2994|All ICCC Groups Combined|15136428|1999
1-4|75.0|84.1|79.5|1203|I Leukemias, myeloproliferative & myelodysplastic diseases|15136428|1999
1-4|62.6|70.9|66.7|1009|I(a) Lymphoid leukemias|15136428|1999
1-4|9.1|12.4|10.6|161|I(b) Acute myeloid leukemias|15136428|1999
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|15136428|1999
1-4|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15136428|1999
1-4|1.1|2.5|1.7|26|I(e) Unspecified and other specified leukemias|15136428|1999
1-4|7.6|10.7|9.1|137|II Lymphomas and reticuloendothelial neoplasms|15136428|1999
1-4|~|~|~|~|II(a) Hodgkin lymphomas|15136428|1999
1-4|3.8|6.1|4.9|74|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15136428|1999
1-4|1.1|2.4|1.7|25|II(c) Burkitt lymphoma|15136428|1999
1-4|0.8|2.0|1.3|20|II(d) Miscellaneous lymphoreticular neoplasms|15136428|1999
1-4|~|~|~|~|II(e) Unspecified lymphomas|15136428|1999
1-4|35.4|41.7|38.5|582|III CNS and misc intracranial and intraspinal neoplasms|15136428|1999
1-4|3.5|5.8|4.6|69|III(a) Ependymomas and choroid plexus tumor|15136428|1999
1-4|13.9|18.0|15.9|240|III(b) Astrocytomas|15136428|1999
1-4|8.7|12.0|10.2|155|III(c) Intracranial and intraspinal embryonal tumors|15136428|1999
1-4|5.1|7.7|6.3|95|III(d) Other gliomas|15136428|1999
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15136428|1999
1-4|0.7|1.9|1.2|18|III(f) Unspecified intracranial and intraspinal neoplasms|15136428|1999
1-4|19.6|24.4|21.9|331|IV Neuroblastoma and other peripheral nervous cell tumors|15136428|1999
1-4|19.6|24.4|21.9|331|IV(a) Neuroblastoma and ganglioneuroblastoma|15136428|1999
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15136428|1999
1-4|8.4|11.6|9.9|150|IX Soft tissue and other extraosseous sarcomas|15136428|1999
1-4|5.6|8.3|6.8|103|IX(a) Rhabdomyosarcomas|15136428|1999
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15136428|1999
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15136428|1999
1-4|1.3|2.8|1.9|29|IX(d) Other specified soft tissue sarcomas|15136428|1999
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|15136428|1999
1-4|~|~|~|~|Not classified by ICCC|15136428|1999
1-4|7.5|10.6|9.0|136|V Retinoblastoma|15136428|1999
1-4|16.3|20.7|18.4|278|VI Renal tumors|15136428|1999
1-4|16.1|20.5|18.2|276|VI(a) Nephroblastoma and other nonepithelial renal tumors|15136428|1999
1-4|~|~|~|~|VI(b) Renal carcinomas|15136428|1999
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15136428|1999
1-4|3.3|5.4|4.2|64|VII Hepatic tumors|15136428|1999
1-4|3.0|5.0|3.9|59|VII(a) Hepatoblastoma|15136428|1999
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15136428|1999
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15136428|1999
1-4|1.0|2.3|1.5|23|VIII Malignant bone tumors|15136428|1999
1-4|~|~|~|~|VIII(a) Osteosarcomas|15136428|1999
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15136428|1999
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|15136428|1999
