AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
142.5|148.7|145.6|8592|All ICCC Groups Combined|59151007|0-14|All Races|Male and Female|1999|||
43.5|46.9|45.2|2669|I Leukemias, myeloproliferative & myelodysplastic diseases|59151007|0-14|All Races|Male and Female|1999|||
33.9|37.0|35.4|2095|I(a) Lymphoid leukemias|59151007|0-14|All Races|Male and Female|1999|||
6.8|8.3|7.5|444|I(b) Acute myeloid leukemias|59151007|0-14|All Races|Male and Female|1999|||
0.4|0.9|0.6|37|I(c) Chronic myeloproliferative diseases|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|59151007|0-14|All Races|Male and Female|1999|||
1.1|1.7|1.4|82|I(e) Unspecified and other specified leukemias|59151007|0-14|All Races|Male and Female|1999|||
14.4|16.4|15.4|908|II Lymphomas and reticuloendothelial neoplasms|59151007|0-14|All Races|Male and Female|1999|||
4.9|6.1|5.5|324|II(a) Hodgkin lymphomas|59151007|0-14|All Races|Male and Female|1999|||
5.4|6.6|6.0|353|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|59151007|0-14|All Races|Male and Female|1999|||
2.1|2.9|2.5|149|II(c) Burkitt lymphoma|59151007|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|54|II(d) Miscellaneous lymphoreticular neoplasms|59151007|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|28|II(e) Unspecified lymphomas|59151007|0-14|All Races|Male and Female|1999|||
30.4|33.3|31.8|1881|III CNS and misc intracranial and intraspinal neoplasms|59151007|0-14|All Races|Male and Female|1999|||
2.6|3.5|3.0|177|III(a) Ependymomas and choroid plexus tumor|59151007|0-14|All Races|Male and Female|1999|||
13.6|15.5|14.5|858|III(b) Astrocytomas|59151007|0-14|All Races|Male and Female|1999|||
7.2|8.6|7.9|465|III(c) Intracranial and intraspinal embryonal tumors|59151007|0-14|All Races|Male and Female|1999|||
4.7|5.8|5.2|310|III(d) Other gliomas|59151007|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|30|III(e) Other specified intracranial & intraspinal neoplasms|59151007|0-14|All Races|Male and Female|1999|||
0.5|0.9|0.7|41|III(f) Unspecified intracranial and intraspinal neoplasms|59151007|0-14|All Races|Male and Female|1999|||
9.8|11.5|10.7|626|IV Neuroblastoma and other peripheral nervous cell tumors|59151007|0-14|All Races|Male and Female|1999|||
9.7|11.4|10.5|616|IV(a) Neuroblastoma and ganglioneuroblastoma|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|59151007|0-14|All Races|Male and Female|1999|||
8.7|10.3|9.5|559|IX Soft tissue and other extraosseous sarcomas|59151007|0-14|All Races|Male and Female|1999|||
4.4|5.5|4.9|291|IX(a) Rhabdomyosarcomas|59151007|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|55|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|IX(c) Kaposi sarcoma|59151007|0-14|All Races|Male and Female|1999|||
2.3|3.1|2.7|157|IX(d) Other specified soft tissue sarcomas|59151007|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|55|IX(e) Unspecified soft tissue sarcomas|59151007|0-14|All Races|Male and Female|1999|||
0.2|0.4|0.3|16|Not classified by ICCC|59151007|0-14|All Races|Male and Female|1999|||
3.7|4.8|4.2|247|V Retinoblastoma|59151007|0-14|All Races|Male and Female|1999|||
7.3|8.8|8.0|474|VI Renal tumors|59151007|0-14|All Races|Male and Female|1999|||
6.9|8.3|7.6|448|VI(a) Nephroblastoma and other nonepithelial renal tumors|59151007|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|23|VI(b) Renal carcinomas|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|59151007|0-14|All Races|Male and Female|1999|||
1.7|2.5|2.1|122|VII Hepatic tumors|59151007|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.7|101|VII(a) Hepatoblastoma|59151007|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.4|21|VII(b) Hepatic carcinomas|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|59151007|0-14|All Races|Male and Female|1999|||
6.5|7.9|7.1|422|VIII Malignant bone tumors|59151007|0-14|All Races|Male and Female|1999|||
3.7|4.7|4.2|247|VIII(a) Osteosarcomas|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(b) Chondrosarcomas|59151007|0-14|All Races|Male and Female|1999|||
2.0|2.8|2.3|138|VIII(c) Ewing tumor and related sarcomas of bone|59151007|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|19|VIII(d) Other specified malignant bone tumors|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|59151007|0-14|All Races|Male and Female|1999|||
4.4|5.6|5.0|292|X Germ cell, trophoblastic tumors & neoplasms of gonads|59151007|0-14|All Races|Male and Female|1999|||
1.0|1.6|1.3|76|X(a) Intracranial & intraspinal germ cell tumors|59151007|0-14|All Races|Male and Female|1999|||
1.1|1.7|1.4|79|X(b) Malignant extracranial & extragonadal germ cell tumors|59151007|0-14|All Races|Male and Female|1999|||
1.8|2.5|2.1|125|X(c) Malignant gonadal germ cell tumors|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(d) Gonadal carcinomas|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|59151007|0-14|All Races|Male and Female|1999|||
5.3|6.5|5.9|345|XI Other malignant epithelial neoplasms and malignant melanomas|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(a) Adrenocortical carcinomas|59151007|0-14|All Races|Male and Female|1999|||
1.5|2.2|1.9|110|XI(b) Thyroid carcinomas|59151007|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|23|XI(c) Nasopharyngeal carcinomas|59151007|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.8|104|XI(d) Malignant melanomas|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(e) Skin carcinomas|59151007|0-14|All Races|Male and Female|1999|||
1.2|1.9|1.5|90|XI(f) Other and unspecified carcinomas|59151007|0-14|All Races|Male and Female|1999|||
0.4|0.7|0.5|31|XII Other and unspecified malignant neoplasms|59151007|0-14|All Races|Male and Female|1999|||
~|~|~|~|XII(a) Other specified malignant tumors|59151007|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|20|XII(b) Other unspecified malignant tumors|59151007|0-14|All Races|Male and Female|1999|||
146.7|152.9|149.8|8888|All ICCC Groups Combined|59476204|0-14|All Races|Male and Female|2000|||
44.2|47.7|45.9|2721|I Leukemias, myeloproliferative & myelodysplastic diseases|59476204|0-14|All Races|Male and Female|2000|||
